latitud,longitud,comuna
"-34,6071939","-58,3748168",1
"-34,6056298","-58,3778541",1
"-34,605413","-58,3782095",1
"-34,6052116","-58,3785932",1
"-34,6364205","-58,3902797",4
"-34,6366205","-58,3900512",4
"-34,639866","-58,3900161",4
"-34,6399775","-58,3900075",4
"-34,6414075","-58,3935259",4
"-34,6429269","-58,3972052",4
"-34,6490777","-58,4044176",4
"-34,6435534","-58,398034",4
"-34,6417722","-58,3942597",4
"-34,608981","-58,371633",1
"-34,608968","-58,371494",1
"-34,608946","-58,371322",1
"-34,608981","-58,371667",1
"-34,608996","-58,371839",1
"-34,6092323","-58,37503",1
"-34,6092404","-58,3751406",1
"-34,6094421","-58,3779489",1
"-34,6094523","-58,378111",1
"-34,609741","-58,3824696",1
"-34,6100892","-58,3879736",1
"-34,6101006","-58,3885188",1
"-34,6101798","-58,389257",1
"-34,610252","-58,390758",1
"-34,610257","-58,3908269",1
"-34,6102697","-58,3909235",1
"-34,61027","-58,3910384",1
"-34,6093517","-58,3869388",1
"-34,6093206","-58,3864841",1
"-34,6092694","-58,3859884",1
"-34,6092856","-58,385784",1
"-34,6092391","-58,3854293",1
"-34,6090897","-58,3831076",1
"-34,6090759","-58,3829065",1
"-34,6090574","-58,3826314",1
"-34,5983574","-58,3875132",2
"-34,5983449","-58,3873275",2
"-34,6088721","-58,3799646",1
"-34,6088492","-58,3796306",1
"-34,598223","-58,38327",1
"-34,6088393","-58,3789251",1
"-34,6087826","-58,3786406",1
"-34,6087388","-58,3781062",1
"-34,6086883","-58,3773268",1
"-34,6086968","-58,3762991",1
"-34,6085745","-58,3758936",1
"-34,6085666","-58,3756086",1
"-34,6085089","-58,3747358",1
"-34,6084876","-58,3744011",1
"-34,5960435","-58,3767002",1
"-34,595548","-58,3772737",1
"-34,5954435","-58,3773975",1
"-34,5953738","-58,37748",1
"-34,5951912","-58,380482",1
"-34,5952018","-58,3806029",1
"-34,5952207","-58,3808174",1
"-34,595491","-58,3840863",1
"-34,5955569","-58,3851091",1
"-34,5955792","-58,3855",1
"-34,5955825","-58,3855555",1
"-34,5956638","-58,3878065",2
"-34,5956761","-58,3882159",2
"-34,5958381","-58,3880998",2
"-34,5957917","-58,386531",1
"-34,5957218","-58,3850845",1
"-34,5957141","-58,3849561",1
"-34,595709","-58,383105",1
"-34,5953964","-58,3808112",1
"-34,5953679","-58,3804868",1
"-34,5953508","-58,3803401",1
"-34,5953435","-58,3802573",1
"-34,5952493","-58,3790891",1
"-34,5945529","-58,378471",1
"-34,5914991","-58,3780416",1
"-34,5554677","-58,4908638",12
"-34,5928243","-58,3796257",1
"-34,5928205","-58,3798391",1
"-34,5928098","-58,3804599",1
"-34,5928277","-58,3839762",1
"-34,5927877","-58,3871774",1
"-34,588203","-58,3832172",1
"-34,588251","-58,383129",1
"-34,5897363","-58,3804148",1
"-34,5896505","-58,3805869",1
"-34,5901462","-58,3796614",1
"-34,5923408","-58,3763093",1
"-34,5925069","-58,3760545",1
"-34,6051096","-58,3682081",1
"-34,604793","-58,369208",1
"-34,6022947","-58,3683612",1
"-34,6017959","-58,3697377",1
"-34,5930853","-58,3717565",1
"-34,6010638","-58,3693078",1
"-34,59813224","-58,3691152",1
"-34,59807262","-58,36912593",1
"-34,59771715","-58,36928955",1
"-34,5976752","-58,369311",1
"-34,59733519","-58,36943975",1
"-34,59807262","-58,36921176",1
"-34,59774586","-58,36934319",1
"-34,59761118","-58,36939683",1
"-34,5876856","-58,5130056",11
"-34,5906105","-58,5155912",11
"-34,59034","-58,5157464",11
"-34,5888244","-58,512714",11
"-34,5877082","-58,5089145",12
"-34,59065","-58,5136649",11
"-34,59043","-58,5149171",11
"-34,5909936","-58,5120733",11
"-34,5897226","-58,5077043",11
"-34,5913396","-58,5103331",11
"-34,591433","-58,510485",11
"-34,59158","-58,5116199",11
"-34,59173","-58,5105751",11
"-34,5941849","-58,5116077",11
"-34,5963664","-58,5116615",11
"-34,627999","-58,364516",4
"-34,6355929","-58,3621855",4
"-34,5964216","-58,5118008",11
"-34,5983537","-58,5117636",11
"-34,5996615","-58,5108074",11
"-34,600079","-58,511439",11
"-34,6002843","-58,5118106",11
"-34,5984687","-58,5126771",11
"-34,5972551","-58,506912",11
"-34,59299","-58,5077002",11
"-34,59304","-58,5070209",11
"-34,593672","-58,506552",11
"-34,5936705","-58,5048873",11
"-34,595661","-58,5043327",11
"-34,594544","-58,4295415",14
"-34,5961955","-58,4267549",14
"-34,5955682","-58,50195",11
"-34,5962552","-58,4266142",14
"-34,59588","-58,5000085",11
"-34,5970903","-58,4245509",14
"-34,5972403","-58,4242067",14
"-34,5969785","-58,4972907",11
"-34,5971746","-58,4976442",11
"-34,5973225","-58,4984244",11
"-34,5978764","-58,4128424",2
"-34,5979689","-58,4109977",2
